site_id,site_identification,lat,lon,equipment,name
1,1000,35.14922,33.37415,Loop,Lemesou Ave. (TCC)
2,1000,35.14922,33.37415,Loop,Lemesou Ave. (ACC)
3,1001,35.14989,33.33482,Loop,Elaionon (ACC)
4,1001,35.14989,33.33482,Loop,Elaionon (TCC)
5,1002,35.14776,33.3458,Loop,Strovolou (ACC)
6,1002,35.14776,33.3458,Loop,Strovolou (TCC)
7,1003,35.15739,33.35316,Loop,Matsi (ACC)
8,1003,35.15739,33.35316,Loop,Matsi (TCC)
9,1004,35.15948,33.35305,Loop,Severi (ACC)
10,1004,35.15948,33.35305,Loop,Severi (TCC)
11,1005,35.16051,33.35816,Loop,Nikis (TCC)
12,1005,35.16051,33.35816,Loop,Nikis (ACC)
13,1006,35.16057,33.34626,Loop,Prodromou (ACC)
14,1006,35.16057,33.34626,Loop,Prodromou (TCC)
15,1007,35.13601,33.35808,Loop,Chatziosif (TCC)
16,1007,35.13601,33.35808,Loop,Chatziosif (ACC)
17,1008,35.14476,33.36206,Loop,Athalassis Ave. (East to Lemesou Athalassis Junct. )
18,1008,35.14476,33.36206,Loop,Athalassis Ave. (West to Akropoleos / Chadjiosif Junct. )
19,1009,35.14801,33.32521,Loop,Archaggelou (TCC)
20,1009,35.14801,33.32521,Loop,Archaggelou (ACC)
21,1010,35.16413,33.35085,Loop,Gr. Dhigeni Ave. (TCC)
22,1010,35.16413,33.35085,Loop,Gr. Dhigeni Ave. (ACC)
23,1011,35.16346,33.36485,Loop,Makariou (ACC)
24,1011,35.16346,33.36485,Loop,Makariou (TCC)
25,1012,35.16348,33.38415,Loop,Larnakos Ave. (ACC)
26,1012,35.16348,33.38415,Loop,Larnakos Ave. (TCC)
29,1014,35.12643,33.3374,Loop,Tseriou (ACC)
30,1014,35.12643,33.3374,Loop,Tseriou (TCC)
27,1013,35.123,33.3307,Loop,Sp. Kyprianou - Kantaras (Eastbound to Tseriou R/B )
28,1013,35.123,33.3307,Loop,Sp. Kyprianou - Kantaras (Westbound to Strovolou Ave. )
31,1015,35.12892,33.36243,Loop,Sp. Kyprianou - Ag. Therissos (Eastbound to Kalamon Junct. )
32,1015,35.12892,33.36243,Loop,Sp. Kyprianou - Ag. Therissos (Westbound to Hadjiosif/ Vikella Junct. )
33,1016,35.16158,33.16929,Loop,Kokkinotrimithia (ACC)
34,1016,35.16158,33.16929,Loop,Kokkinotrimithia (TCC)
35,6000,35.06587,33.37856,Loop,Latsia - Nicosia (Northbound to Nicosia )
37,6010,35.08505,33.37656,Loop,Nicosia - Limassol (Southbound - Away from Nicosia )
39,6020,34.82357,33.37374,Loop,Skarinou (Larnaka) (Westbound to Limassol )
40,6020,34.82357,33.37374,Loop,Skarinou (Larnaka) (Eastbound to Nicosia / Larnaka )
41,6030,34.71608,33.16923,Loop,Pareklissia (Limassol) (Eastbound to Nicosia / Larnaka )
42,6030,34.71608,33.16923,Loop,Pareklissia (Limassol) (Westbound to Limassol )
43,6040,34.68262,32.90107,Loop,Episkopi - Pafos (Episkopi) (Westbound to Pafos )
45,6050,34.68158,32.89648,Loop,Episkopi - Limassol (Episkopi) (Eastbound to Limassol )
47,6060,34.71042,32.55391,Loop,Mandria - Pafos (Westbound to Pafos )
48,6060,34.71042,32.55391,Loop,Mandria - Pafos (Eastbound to Limassol )
49,6070,34.83328,33.4085,Loop,Kofinou - Larnaka (Eastbound to Larnaka )
50,6070,34.83328,33.4085,Loop,Kofinou - Larnaka (Westbound to Limassol )
51,6080,34.96005,33.56988,Loop,Rizoelia - Larnaka (Eastbound to Larnaka )
