fetched_utc,route_id,direction,length_m,travel_s,freeflow_s,delay_s
2026-08-01T03:44:26Z,strovolou,ab,5400,527,504,0
2026-08-01T03:44:26Z,strovolou,ba,4712,436,404,0
2026-08-01T03:44:26Z,tseriou,ab,2555,240,225,0
2026-08-01T03:44:26Z,tseriou,ba,3739,387,372,0
2026-08-01T03:44:26Z,prodromou,ab,2418,266,254,0
2026-08-01T03:44:26Z,prodromou,ba,2414,314,299,0
2026-08-01T03:44:26Z,akropoleos,ab,5010,521,463,0
2026-08-01T03:44:26Z,akropoleos,ba,5145,516,479,0
2026-08-01T03:44:26Z,athalassas,ab,2793,302,282,0
2026-08-01T03:44:26Z,athalassas,ba,6037,558,534,0
2026-08-01T03:44:26Z,lemesou,ab,2014,236,213,0
2026-08-01T03:44:26Z,lemesou,ba,2007,218,196,0
2026-08-01T03:44:26Z,sp_kyprianou,ab,6489,619,585,0
2026-08-01T03:44:26Z,sp_kyprianou,ba,6573,648,627,0
2026-08-01T03:44:26Z,archangelou,ab,7265,555,523,0
2026-08-01T03:44:26Z,archangelou,ba,6911,609,591,0
2026-08-01T03:44:26Z,konstantinoup,ab,2628,313,291,0
2026-08-01T03:44:26Z,konstantinoup,ba,2629,328,313,0
2026-08-01T03:44:26Z,stavrou,ab,2187,215,208,0
2026-08-01T03:44:26Z,stavrou,ba,2245,211,206,0
2026-08-01T03:44:26Z,makedonitissas,ab,3632,415,395,0
2026-08-01T03:44:26Z,makedonitissas,ba,2705,300,290,0
2026-08-01T03:44:26Z,armenias,ab,1079,127,119,0
2026-08-01T03:44:26Z,armenias,ba,1079,149,132,0
2026-08-01T03:44:26Z,arch_kyprianou,ab,1777,231,214,0
2026-08-01T03:44:26Z,arch_kyprianou,ba,1726,211,202,0
2026-08-01T03:44:26Z,a1_motorway,ab,10597,353,349,0
2026-08-01T03:44:26Z,a1_motorway,ba,14048,565,558,0
2026-08-01T03:44:26Z,makariou_lakat,ab,5849,551,516,0
2026-08-01T03:44:26Z,makariou_lakat,ba,6901,611,583,0
2026-08-01T03:44:26Z,griva_digeni,ab,4212,455,441,0
2026-08-01T03:44:26Z,griva_digeni,ba,5350,709,681,0
2026-08-01T03:44:26Z,aglantzias,ab,1775,184,177,0
2026-08-01T03:44:26Z,aglantzias,ba,3098,399,372,0
2026-08-01T03:44:26Z,kranidioti,ab,1458,109,105,0
2026-08-01T03:44:26Z,kranidioti,ba,1652,124,117,0
2026-08-01T03:44:26Z,perimetrikos,ab,2510,237,229,0
2026-08-01T03:44:26Z,perimetrikos,ba,2094,169,164,0
2026-08-01T03:44:26Z,hatziiosif,ab,2049,209,195,0
2026-08-01T03:44:26Z,hatziiosif,ba,2045,223,202,0
2026-08-01T03:44:26Z,perikleous,ab,2238,256,232,0
2026-08-01T03:44:26Z,perikleous,ba,2649,287,273,0
2026-08-01T03:44:26Z,avraamidi,ab,1264,153,140,0
2026-08-01T03:44:26Z,avraamidi,ba,1266,164,150,0
2026-08-01T03:44:26Z,athinon,ab,1573,208,204,0
2026-08-01T03:44:26Z,athinon,ba,1040,141,134,0
2026-08-01T03:44:26Z,tasou_markou,ab,544,75,70,0
2026-08-01T03:44:26Z,tasou_markou,ba,492,55,55,0
2026-08-01T03:44:26Z,peiraios,ab,590,87,71,0
2026-08-01T03:44:26Z,peiraios,ba,590,72,64,0
2026-08-01T03:54:54Z,strovolou,ab,5400,531,504,0
2026-08-01T03:54:54Z,strovolou,ba,4712,439,404,0
2026-08-01T03:54:54Z,tseriou,ab,2555,244,225,0
2026-08-01T03:54:54Z,tseriou,ba,3739,388,372,0
2026-08-01T03:54:54Z,prodromou,ab,2418,268,254,0
2026-08-01T03:54:54Z,prodromou,ba,2414,315,299,0
2026-08-01T03:54:54Z,akropoleos,ab,5010,534,463,0
2026-08-01T03:54:54Z,akropoleos,ba,5145,519,479,0
2026-08-01T03:54:54Z,athalassas,ab,2793,305,282,0
2026-08-01T03:54:54Z,athalassas,ba,6037,562,534,0
